**** cs stats ****
                                   count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aa_Corp                  355.000000             5.059000             2.127372             1.776138             3.066757             5.278361             6.774815            10.719521
Corp-A_Corp                   355.000000             5.441531             1.979839             2.335005             3.604734             5.705350             6.917900            10.127358
Corp-Baa_Corp                 355.000000             6.116877             1.957055             3.076685             4.277216             6.229064             7.464710            10.833318
TB-3MO-TY                     355.000000             2.785831             2.292307             0.000000             0.270000             2.450000             5.005000             8.070000
TB-1YR-TY                     355.000000             3.050732             2.322437             0.090000             0.600000             2.730000             5.155000             8.580000
TB-5YR-TY                     355.000000             3.977887             2.145323             0.590000             1.930000             3.930000             5.795000             9.040000
Econ-UNRATE                   355.000000             5.868451             1.588880             3.600000             4.700000             5.500000             6.800000            10.000000
Econ-DSPIC96                  355.000000        10,505.067606         2,358.213206         6,770.200000         8,240.050000        10,685.500000        12,269.350000        15,021.200000
Econ-CPIAUCSL                 355.000000             2.448537             1.263402            -1.958760             1.692805             2.515720             3.075950             6.379590
Econ-CPILFESL                 355.000000             2.406014             0.895294             0.602720             1.890275             2.221360             2.646560             5.651850
Econ-INDPRO                   355.000000            91.133970            13.844813            62.119000            82.542100            94.933800           102.058750           110.551600
Econ-PCE                      355.000000         8,461.066197         3,132.329844         3,728.200000         5,521.500000         8,420.600000        10,952.650000        14,682.400000
Market-SP500                  355.000000         1,252.546227           649.546488           304.000000           808.310000         1,186.689900         1,471.620000         2,980.379900
Market-SP500-change           355.000000             0.527856             4.188314           -20.398500            -1.768500             1.056100             3.155500            10.038600
Market-RMRF                   355.000000            -2.257975             4.727104           -22.168200            -4.722350            -1.757700             0.757200             9.704700
CS-Aaa-3MO                    355.000000             2.275611             1.039238            -0.023000             1.565000             2.187000             2.940500             6.609000
CS-Aa-3MO                     355.000000             2.273175             1.091364             0.060000             1.506500             2.150000             2.919000             7.150000
CS-A-3MO                      355.000000             2.655699             1.252593             0.271000             1.788000             2.610000             3.399500             8.654000
CS-Baa-3MO                    355.000000             3.331051             1.462225             0.588000             2.250500             3.335000             4.128000             9.893000
CS-Aaa-1YR                    355.000000             2.010710             0.946879             0.149000             1.269500             1.968000             2.664500             5.729000
CS-Aa-1YR                     355.000000             2.008273             1.003056             0.201000             1.249000             1.916000             2.629500             6.270000
CS-A-1YR                      355.000000             2.390797             1.186635             0.421000             1.445500             2.320000             3.003500             7.774000
CS-Baa-1YR                    355.000000             3.066149             1.410542             0.788000             1.954500             3.037000             3.841000             9.003000
CS-Aaa-5YR                    355.000000             1.083555             0.514513             0.524000             0.753500             0.999000             1.263000             4.436000
CS-Aa-5YR                     355.000000             1.081118             0.634954             0.209000             0.710500             0.961000             1.265000             5.023000
CS-A-5YR                      355.000000             1.463642             0.836899             0.654000             0.932000             1.227000             1.690000             6.448000
CS-Baa-5YR                    355.000000             2.138994             1.047133             0.920000             1.487500             1.848000             2.522500             7.973000
**** cs stats p1 diff ****
                                   count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                 354.000000            -0.018189             0.292125            -1.964417            -0.159983            -0.033039             0.112479             2.020668
Corp-Aa_Corp                  354.000000            -0.022914             0.264786            -1.539801            -0.165577            -0.023315             0.120167             1.303770
Corp-A_Corp                   354.000000            -0.018860             0.264260            -1.349763            -0.159352            -0.030412             0.123453             1.667747
Corp-Baa_Corp                 354.000000            -0.018638             0.286494            -0.969348            -0.158527            -0.022591             0.134709             2.524043
TB-3MO-TY                     354.000000            -0.016723             0.205631            -1.400000            -0.050000             0.000000             0.070000             0.520000
TB-1YR-TY                     354.000000            -0.017175             0.216355            -1.230000            -0.100000             0.000000             0.097500             0.730000
TB-5YR-TY                     354.000000            -0.018390             0.272088            -0.870000            -0.180000            -0.022500             0.140000             0.920000
Econ-UNRATE                   354.000000            -0.004520             0.154193            -0.500000            -0.100000             0.000000             0.100000             0.500000
Econ-DSPIC96                  354.000000            23.218362            79.877621          -749.500000             1.400000            25.200000            45.750000           551.200000
Econ-CPIAUCSL                 354.000000            -0.009946             0.391745            -2.631140            -0.210628            -0.007115             0.198305             2.138560
Econ-CPILFESL                 354.000000            -0.006217             0.125670            -0.408400            -0.086183            -0.004810             0.068055             0.374270
Econ-INDPRO                   354.000000             0.129593             0.582273            -4.368700            -0.157075             0.169650             0.482125             1.782400
Econ-PCE                      354.000000            30.944068            34.104423          -139.500000            14.625000            30.750000            48.250000           195.600000
Market-SP500                  354.000000             7.329294            54.330317          -253.319800           -14.530000            10.004900            40.505000           197.250000
Market-SP500-change           354.000000            -0.007597             5.810112           -15.893000            -3.605000            -0.037600             3.231250            22.941300
Market-RMRF                   354.000000             0.009127             5.823774           -15.893000            -3.621625            -0.056000             3.310475            23.081300
CS-Aaa-3MO                    354.000000            -0.001466             0.318651            -1.914000            -0.156250            -0.035500             0.116500             2.821000
CS-Aa-3MO                     354.000000            -0.006192             0.299783            -1.639000            -0.157750            -0.023500             0.124250             2.104000
CS-A-3MO                      354.000000            -0.002138             0.306765            -1.450000            -0.168500            -0.029500             0.126500             2.468000
CS-Baa-3MO                    354.000000            -0.001915             0.332449            -0.899000            -0.168500            -0.033000             0.145750             2.984000
CS-Aaa-1YR                    354.000000            -0.001014             0.252613            -1.814000            -0.107750            -0.019000             0.080250             2.411000
CS-Aa-1YR                     354.000000            -0.005740             0.225524            -1.348000            -0.109250            -0.025500             0.080500             1.694000
CS-A-1YR                      354.000000            -0.001686             0.237151            -0.820000            -0.116750            -0.017500             0.088750             2.058000
CS-Baa-1YR                    354.000000            -0.001463             0.286176            -0.889000            -0.128500            -0.025500             0.091750             2.964000
CS-Aaa-5YR                    354.000000             0.000201             0.202404            -1.644000            -0.062750             0.000000             0.056750             2.141000
CS-Aa-5YR                     354.000000            -0.004525             0.195501            -1.398000            -0.063750            -0.008500             0.063000             1.424000
CS-A-5YR                      354.000000            -0.000472             0.212123            -1.031000            -0.075750            -0.003000             0.067000             1.788000
CS-Baa-5YR                    354.000000            -0.000249             0.271111            -1.319000            -0.094500            -0.011000             0.083750             2.704000
**** cs stats ****
                                   count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                 355.000000             5.061441             1.980965             1.822678             3.185932             5.080050             6.767843             9.819380
Corp-Aa_Corp                  355.000000             5.059000             2.127372             1.776138             3.066757             5.278361             6.774815            10.719521
Corp-A_Corp                   355.000000             5.441531             1.979839             2.335005             3.604734             5.705350             6.917900            10.127358
Corp-Baa_Corp                 355.000000             6.116877             1.957055             3.076685             4.277216             6.229064             7.464710            10.833318
TB-3MO-TY                     355.000000             2.785831             2.292307             0.000000             0.270000             2.450000             5.005000             8.070000
TB-1YR-TY                     355.000000             3.050732             2.322437             0.090000             0.600000             2.730000             5.155000             8.580000
TB-5YR-TY                     355.000000             3.977887             2.145323             0.590000             1.930000             3.930000             5.795000             9.040000
Econ-UNRATE                   355.000000             5.868451             1.588880             3.600000             4.700000             5.500000             6.800000            10.000000
Econ-DSPIC96                  355.000000        10,505.067606         2,358.213206         6,770.200000         8,240.050000        10,685.500000        12,269.350000        15,021.200000
Econ-CPIAUCSL                 355.000000           193.008631            37.299517           128.000000           160.300000           191.600000           228.557000           256.294000
Econ-CPILFESL                 355.000000           199.146992            35.716660           132.700000           169.550000           198.300000           228.691500           264.180000
Econ-INDPRO                   355.000000            91.133970            13.844813            62.119000            82.542100            94.933800           102.058750           110.551600
Econ-PCE                      355.000000         8,461.066197         3,132.329844         3,728.200000         5,521.500000         8,420.600000        10,952.650000        14,682.400000
Market-SP500                  355.000000         1,252.546227           649.546488           304.000000           808.310000         1,186.689900         1,471.620000         2,980.379900
Market-SP500-change           355.000000             0.702452             4.102450           -16.942500            -1.737750             1.067400             3.258300            11.158800
Market-RMRF                   355.000000            -2.083379             4.651723           -19.679700            -4.697900            -1.680600             0.824700            10.752300
CS-Aaa-3MO                    355.000000             2.275611             1.039238            -0.023000             1.565000             2.187000             2.940500             6.609000
CS-Aa-3MO                     355.000000             2.273175             1.091364             0.060000             1.506500             2.150000             2.919000             7.150000
CS-A-3MO                      355.000000             2.655699             1.252593             0.271000             1.788000             2.610000             3.399500             8.654000
CS-Baa-3MO                    355.000000             3.331051             1.462225             0.588000             2.250500             3.335000             4.128000             9.893000
CS-Aaa-1YR                    355.000000             2.010710             0.946879             0.149000             1.269500             1.968000             2.664500             5.729000
CS-Aa-1YR                     355.000000             2.008273             1.003056             0.201000             1.249000             1.916000             2.629500             6.270000
CS-A-1YR                      355.000000             2.390797             1.186635             0.421000             1.445500             2.320000             3.003500             7.774000
CS-Baa-1YR                    355.000000             3.066149             1.410542             0.788000             1.954500             3.037000             3.841000             9.003000
CS-Aaa-5YR                    355.000000             1.083555             0.514513             0.524000             0.753500             0.999000             1.263000             4.436000
CS-Aa-5YR                     355.000000             1.081118             0.634954             0.209000             0.710500             0.961000             1.265000             5.023000
CS-A-5YR                      355.000000             1.463642             0.836899             0.654000             0.932000             1.227000             1.690000             6.448000
CS-Baa-5YR                    355.000000             2.138994             1.047133             0.920000             1.487500             1.848000             2.522500             7.973000
CS-Aaa-3MO-Price              355.000000           993.218049             3.050611           980.774561           991.247634           993.459087           995.300686         1,000.069777
CS-Aa-3MO-Price               355.000000           993.227233             3.195734           979.269827           991.310442           993.568225           995.474634           999.818071
CS-A-3MO-Price                355.000000           992.109820             3.639275           975.138115           989.910827           992.215015           994.638740           999.179415
